f150_descripcion;f120_referencia;f121_id_barras_principal;f120_descripcion;f117_descripcion_color;f121_id_ext1_detalle;f121_id_ext2_detalle;CATEGORIA;LINEA;MARCA;COLECCION;SECTOR;f400_fecha_ult_entrada;f400_fecha_ult_salida;f400_cant_existencia_1;f400_cant_comprometida_1;f400_cant_pendiente_salir_1;FECHA MINIMA ENTRADA;FECHA MAXIMA ENTRADA;FECHA MINIMA SALIDA;FECHA MAXIMA SALIDA
FOR ME TOO;PF51510110                                        ;7706718541394;VESTIDO FLORENCIA;AZUL MEDIO;420;L                   ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;02/05/2025;01/11/2024;1;0;0;9/11/2023;2/05/2025;9/11/2023;9/11/2023
FOR ME TOO;PF51510110                                        ;7706718541424;VESTIDO FLORENCIA;AZUL MEDIO;420;XL                  ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;16/07/2025;22/07/2025;2;0;0;9/11/2023;16/07/2025;9/11/2023;9/11/2023
PLANETA PLAZA;PF51510110                                        ;7706718541424;VESTIDO FLORENCIA;AZUL MEDIO;420;XL                  ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;08/06/2025;11/07/2025;1;0;0;8/06/2025;8/06/2025;8/06/2025;8/06/2025
PRODUCTO TERMINADO ECOMMERCE;PF51510110                                        ;7706718541431;VESTIDO FLORENCIA;AZUL MEDIO;420;XS                  ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;09/11/2023;29/07/2024;3;0;0;9/11/2023;9/11/2023;9/11/2023;9/11/2023
PRODUCTO TERMINADO ECOMMERCE;PF51510110                                        ;7706718541417;VESTIDO FLORENCIA;AZUL MEDIO;420;S                   ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;19/06/2025;28/07/2025;5;0;0;9/11/2023;19/06/2025;9/11/2023;9/11/2023
FOR ME TOO MAYORCA;PF51510110                                        ;7706718541417;VESTIDO FLORENCIA;AZUL MEDIO;420;S                   ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;11/03/2025;16/06/2025;3;0;0;11/03/2025;11/03/2025;11/03/2025;11/03/2025
PRODUCTO TERMINADO ECOMMERCE;PF51510110                                        ;7706718541400;VESTIDO FLORENCIA;AZUL MEDIO;420;M                   ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;17/09/2024;05/03/2025;1;0;0;9/11/2023;17/09/2024;9/11/2023;9/11/2023
FOR ME TOO MAYORCA;PF51510110                                        ;7706718541400;VESTIDO FLORENCIA;AZUL MEDIO;420;M                   ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;11/03/2025;09/05/2025;3;0;0;11/03/2025;11/03/2025;11/03/2025;11/03/2025
PRODUCTO TERMINADO ECOMMERCE;PF51510110                                        ;7706718541394;VESTIDO FLORENCIA;AZUL MEDIO;420;L                   ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;09/11/2023;22/04/2025;1;0;0;9/11/2023;9/11/2023;9/11/2023;9/11/2023
NUESTRO ATLANTICO;PF51510110                                        ;7706718541431;VESTIDO FLORENCIA;AZUL MEDIO;420;XS                  ;FORMETOO;VESTIDO;FORMETOO                                ;FMT DICIEMBRE 1 2023;VESTIDO LARGO DE TIRAS                  ;24/04/2025;10/05/2025;1;0;0;21/02/2025;24/04/2025;21/02/2025;21/02/2025
